# Pimentel Gomes, F. (2009). Curso de estatística experimental (15th ed., p. 451). FEALQ.
# Pimentel Gomes, página 126, seção 7.6
# Experimento em fatorial 3^3 com confudimento em 3 blocos usando a relação de definição
# I = A¹B²C², com repetições de cada bloco, ou seja, são 6 blocos.
# Avaliando a produção de cana-de-açucar (ton/ha).
bloco	rept	N	P	K	producao
I	1	0	0	0	37
I	1	0	1	2	42.6
I	1	0	2	1	68.2
I	1	1	0	1	33.5
I	1	1	1	0	45.7
I	1	1	2	2	49.7
I	1	2	0	2	36.2
I	1	2	1	1	47.4
I	1	2	2	0	59
I	2	0	0	0	29.3
I	2	0	1	2	37
I	2	0	2	1	64.4
I	2	1	0	1	28.6
I	2	1	1	0	61.3
I	2	1	2	2	52.8
I	2	2	0	2	35.2
I	2	2	1	1	55.4
I	2	2	2	0	56.2
II	1	0	0	1	60.2
II	1	0	1	0	57.6
II	1	0	2	2	76
II	1	1	0	2	42.8
II	1	1	1	1	63.4
II	1	1	2	0	58.2
II	1	2	0	0	56.6
II	1	2	1	2	69.1
II	1	2	2	1	59.4
II	2	0	0	1	39.1
II	2	0	1	0	19.5
II	2	0	2	2	66
II	2	1	0	2	27.7
II	2	1	1	1	63
II	2	1	2	0	53.4
II	2	2	0	0	30.5
II	2	2	1	2	49.5
II	2	2	2	1	43.2
III	1	0	0	2	28.3
III	1	0	1	1	66.6
III	1	0	2	0	66.8
III	1	1	0	0	32.6
III	1	1	1	2	63.4
III	1	1	2	1	71.1
III	1	2	0	1	41.3
III	1	2	1	0	50.2
III	1	2	2	2	55.4
III	2	0	0	2	24.3
III	2	0	1	1	41.8
III	2	0	2	0	55.1
III	2	1	0	0	37
III	2	1	1	2	50.8
III	2	1	2	1	56.8
III	2	2	0	1	36.9
III	2	2	1	0	67.2
III	2	2	2	2	69.5

