## Responsável: Walmes Zeviani.
## Experimento feito durante a gradução (4ª ano de agronomia) durante a
## disciplina de Irrigação e Drenagem. Estudou-se níveis de adubação
## organica e irrigação na cultura do milho; cultivo: níveis de
## irrigação, parcelas dentro do pivô central ou fora a distância entre
## elas é de 20-30 metros, assume-se que a única variação é devido
## irrigação; npk: kg ha^{-1} de adubo mineral NPK aplicado (12.33 –
## 19.12 – 14.18); cama: kg ha^{-1} de adubo orgânico (cama de frango de
## corte de 6 lotes) com teor de NPK de 2.52 – 3.92 – 2.93 (feito a
## lanço); rept: indicador de parcela, não foi em bloco devido a
## homogeneidade da condições locais; planta: indicador de unidade
## amostral (planta dentro da parcela); altplnt: altura de plantas em
## metros; altespg: altura de espigas em metros;
##
rept	cultivo	npk	cama	planta	altplnt	altespg
1	irr	0	0	1	2.3	0.9
1	irr	0	0	2	2.35	0.87
1	irr	0	0	3	2.11	0.9
1	irr	0	0	4	2.15	0.97
1	irr	0	0	5	2.4	0.93
2	irr	0	0	1	2.07	0.9
2	irr	0	0	2	2.05	0.9
2	irr	0	0	3	2.17	0.88
2	irr	0	0	4	1.95	0.8
2	irr	0	0	5	2.3	0.9
3	irr	0	0	1	2.2	0.85
3	irr	0	0	2	2.25	1
3	irr	0	0	3	2.3	0.95
3	irr	0	0	4	2.05	0.8
3	irr	0	0	5	2.16	0.85
4	irr	0	0	1	2.2	0.9
4	irr	0	0	2	2.05	0.93
4	irr	0	0	3	2.4	1
4	irr	0	0	4	2.15	0.89
4	irr	0	0	5	2.3	0.95
1	irr	490	0	1	2.2	0.9
1	irr	490	0	2	2.33	0.93
1	irr	490	0	3	2	0.97
1	irr	490	0	4	2.3	0.98
1	irr	490	0	5	2.25	0.9
2	irr	490	0	1	2.1	0.94
2	irr	490	0	2	2.2	1.08
2	irr	490	0	3	2.3	1.05
2	irr	490	0	4	2.25	1
2	irr	490	0	5	2.22	0.96
3	irr	490	0	1	2.1	0.9
3	irr	490	0	2	2.15	0.93
3	irr	490	0	3	2.15	0.9
3	irr	490	0	4	2.05	0.75
3	irr	490	0	5	2.1	1
4	irr	490	0	1	2.2	0.9
4	irr	490	0	2	2.28	0.9
4	irr	490	0	3	2.22	0.95
4	irr	490	0	4	2.33	0.97
4	irr	490	0	5	2.19	0.9
1	irr	0	1200	1	2.1	0.85
1	irr	0	1200	2	2.2	0.9
1	irr	0	1200	3	2.05	0.85
1	irr	0	1200	4	2.05	0.95
1	irr	0	1200	5	2.15	0.9
2	irr	0	1200	1	2.24	1.1
2	irr	0	1200	2	2.16	0.87
2	irr	0	1200	3	2.2	0.75
2	irr	0	1200	4	2.1	0.88
2	irr	0	1200	5	2.3	1.03
3	irr	0	1200	1	2.17	0.95
3	irr	0	1200	2	2.02	0.9
3	irr	0	1200	3	2.12	0.95
3	irr	0	1200	4	2.25	0.9
3	irr	0	1200	5	2.02	0.85
4	irr	0	1200	1	2.12	0.9
4	irr	0	1200	2	2.2	0.8
4	irr	0	1200	3	2.08	0.77
4	irr	0	1200	4	2.25	0.9
4	irr	0	1200	5	2.14	0.86
1	irr	0	2400	1	2.23	0.95
1	irr	0	2400	2	2.14	0.95
1	irr	0	2400	3	2.1	0.87
1	irr	0	2400	4	2.5	1.2
1	irr	0	2400	5	2.2	1.03
2	irr	0	2400	1	2.05	0.9
2	irr	0	2400	2	2.1	0.8
2	irr	0	2400	3	2.3	1
2	irr	0	2400	4	2.1	0.9
2	irr	0	2400	5	2.15	0.9
3	irr	0	2400	1	2.06	0.81
3	irr	0	2400	2	2.15	0.89
3	irr	0	2400	3	2.35	0.95
3	irr	0	2400	4	2.05	0.83
3	irr	0	2400	5	2.1	0.9
4	irr	0	2400	1	2.4	0.97
4	irr	0	2400	2	2.25	0.93
4	irr	0	2400	3	2.3	0.95
4	irr	0	2400	4	2.23	0.93
4	irr	0	2400	5	2.15	0.91
1	irr	0	4800	1	2.05	1
1	irr	0	4800	2	2.1	0.92
1	irr	0	4800	3	2.25	1.05
1	irr	0	4800	4	2.22	0.97
1	irr	0	4800	5	2.05	0.85
2	irr	0	4800	1	2.3	1
2	irr	0	4800	2	2.12	1.05
2	irr	0	4800	3	2.4	1.05
2	irr	0	4800	4	2.35	1.15
2	irr	0	4800	5	2.14	1
3	irr	0	4800	1	2.2	1
3	irr	0	4800	2	2.2	0.9
3	irr	0	4800	3	2.2	0.9
3	irr	0	4800	4	2.15	0.92
3	irr	0	4800	5	2.16	0.9
4	irr	0	4800	1	2.17	0.83
4	irr	0	4800	2	2.1	0.75
4	irr	0	4800	3	2.1	0.84
4	irr	0	4800	4	2	0.75
4	irr	0	4800	5	2.06	0.8
1	seq	0	0	1	2.1	0.85
1	seq	0	0	2	1.98	0.68
1	seq	0	0	3	2.13	0.86
1	seq	0	0	4	2.02	0.75
1	seq	0	0	5	2.16	0.84
1	seq	0	0	6	2.04	0.79
2	seq	0	0	1	1.98	0.72
2	seq	0	0	2	2.14	0.78
2	seq	0	0	3	1.98	0.81
2	seq	0	0	4	2.2	0.65
2	seq	0	0	5	1.9	0.77
2	seq	0	0	6	2.05	0.78
3	seq	0	0	1	2.05	0.8
3	seq	0	0	2	2.05	0.85
3	seq	0	0	3	2.1	0.82
3	seq	0	0	4	1.9	0.74
