#------------------------------------------------------------------------------------------
# dados de plantulas de sorgo em função dos genótipos
# gen: genótipo do sorgo
# comp: comprimento da raíz
# arsu: não sei
# volume: volume de raízes
# diam: dimâmetro da raíz
# dados de Karine Dias, Pós Graduação em Ciência do Solo - UFLA
#------------------------------------------------------------------------------------------
gen	comp	arsu	volu	diam
ATF06B	1093.149	127.679	1.190	0.371
ATF06B	841.336	111.200	1.173	0.425
ATF06B	904.775	112.625	1.118	0.394
ATF40B	855.092	117.029	1.275	0.433
ATF40B	1226.227	168.686	1.849	0.429
ATF40B	1271.738	144.250	1.306	0.362
ATF54B	754.458	93.635	0.939	0.420
ATF54B	830.376	104.637	1.056	0.399
ATF54B	611.053	73.885	0.712	0.382
BR001B	1114.234	140.970	1.421	0.399
BR001B	812.591	112.544	1.240	0.441
BR001B	1315.109	163.264	1.614	0.394
BR005B	516.535	58.053	0.520	0.358
BR005B	548.341	62.525	0.567	0.364
BR005B	488.555	50.481	0.416	0.320
BR007B	1179.349	145.470	1.431	0.388
BR007B	1155.819	143.775	1.425	0.398
BR007B	977.735	118.955	1.152	0.387
BR008B	1267.830	148.383	1.398	0.376
BR008B	1094.307	145.242	1.552	0.417
BR008B	1172.689	128.847	1.127	0.347
P9401	637.272	95.581	1.141	0.478
P9401	703.597	95.284	1.032	0.434
P9401	959.356	121.451	1.226	0.408
SC283	869.051	97.603	0.872	0.357
SC283	839.449	107.325	1.093	0.412
SC283	1016.686	120.438	1.136	0.378
