fosf	dia	fonte	solo	rept
6.61	15	LE1	AL	1
6.42	15	LE1	AL	2
6.8	15	LE1	AL	3
18.43	15	LE2	AL	1
19.91	15	LE2	AL	2
23.91	15	LE2	AL	3
1.07	15	EGA	AL	1
1.08	15	EGA	AL	2
1.06	15	EGA	AL	3
38.37	15	CLI	AL	1
39.71	15	CLI	AL	2
37.03	15	CLI	AL	3
15.76	15	COR	AL	1
16.32	15	COR	AL	2
15.19	15	COR	AL	3
1.54	15	ESU	AL	1
1.49	15	ESU	AL	2
1.38	15	ESU	AL	3
3.33	15	ECO	AL	1
3.51	15	ECO	AL	2
3.14	15	ECO	AL	3
21.59	15	EBO	AL	1
25.24	15	EBO	AL	2
20.19	15	EBO	AL	3
13	15	SOR	AL	1
13.6	15	SOR	AL	2
15.73	15	SOR	AL	3
7.94	15	TUR	AL	1
7.94	15	TUR	AL	2
9.04	15	TUR	AL	3
6.27	15	EEQ	AL	1
5.83	15	EEQ	AL	2
6.72	15	EEQ	AL	3
7.84	15	LE1	LVA	1
6.9	15	LE1	LVA	2
7.75	15	LE1	LVA	3
10.48	15	LE2	LVA	1
10.22	15	LE2	LVA	2
10.73	15	LE2	LVA	3
9.21	15	EGA	LVA	1
10.6	15	EGA	LVA	2
9.72	15	EGA	LVA	3
9.09	15	CLI	LVA	1
10.48	15	CLI	LVA	2
10.6	15	CLI	LVA	3
10.73	15	COR	LVA	1
10.35	15	COR	LVA	2
11.39	15	COR	LVA	3
11.39	15	ESU	LVA	1
12.39	15	ESU	LVA	2
12.86	15	ESU	LVA	3
11.54	15	ECO	LVA	1
10.22	15	ECO	LVA	2
11.11	15	ECO	LVA	3
10.73	15	EBO	LVA	1
11.82	15	EBO	LVA	2
10.6	15	EBO	LVA	3
11.23	15	SOR	LVA	1
10.68	15	SOR	LVA	2
12.11	15	SOR	LVA	3
11.23	15	TUR	LVA	1
11.54	15	TUR	LVA	2
11.44	15	TUR	LVA	3
11.75	15	EEQ	LVA	1
12.71	15	EEQ	LVA	2
12.86	15	EEQ	LVA	3
0.45	15	CON	LVA	1
0.42	15	CON	LVA	2
0.51	15	CON	LVA	3
0.57	15	LE1	LVdf	1
0.47	15	LE1	LVdf	2
0.56	15	LE1	LVdf	3
0.51	15	LE2	LVdf	1
0.38	15	LE2	LVdf	2
0.31	15	LE2	LVdf	3
0.36	15	EGA	LVdf	1
0.38	15	EGA	LVdf	2
0.37	15	EGA	LVdf	3
0.26	15	CLI	LVdf	1
0.34	15	CLI	LVdf	2
0.25	15	CLI	LVdf	3
0.34	15	COR	LVdf	1
0.28	15	COR	LVdf	2
0.32	15	COR	LVdf	3
0.45	15	ESU	LVdf	1
0.35	15	ESU	LVdf	2
0.47	15	ESU	LVdf	3
0.38	15	ECO	LVdf	1
0.41	15	ECO	LVdf	2
0.37	15	ECO	LVdf	3
0.4	15	EBO	LVdf	1
0.34	15	EBO	LVdf	2
0.4	15	EBO	LVdf	3
0.34	15	SOR	LVdf	1
0.36	15	SOR	LVdf	2
0.33	15	SOR	LVdf	3
0.36	15	TUR	LVdf	1
0.37	15	TUR	LVdf	2
0.33	15	TUR	LVdf	3
0.33	15	EEQ	LVdf	1
0.32	15	EEQ	LVdf	2
0.37	15	EEQ	LVdf	3
0.45	15	CON	LVdf	1
0.45	15	CON	LVdf	2
0.4	15	CON	LVdf	3
7.04	30	LE1	AL	1
6.86	30	LE1	AL	2
7.2	30	LE1	AL	3
27.5	30	LE2	AL	1
30.64	30	LE2	AL	2
31.31	30	LE2	AL	3
24.07	30	EGA	AL	1
24.26	30	EGA	AL	2
23.48	30	EGA	AL	3
45.22	30	CLI	AL	1
45.22	30	CLI	AL	2
44.96	30	CLI	AL	3
19.6	30	COR	AL	1
20.07	30	COR	AL	2
