# Os dados são de um experimento para verificar o ganho de peso em
# função de tipos de rações. Foram usandos 4 níveis do fator ração e 5 repetições.
# Genótipo de sorgo
# Volume das raízes
gen	dose	rep	volu
ATF06B	0	1	1.190
ATF06B	0	2	1.173
ATF06B	0	3	1.118
ATF40B	0	1	1.275
ATF40B	0	2	1.849
ATF40B	0	3	1.306
ATF54B	0	1	0.939
ATF54B	0	2	1.056
ATF54B	0	3	0.712
BR001B	0	1	1.421
BR001B	0	2	1.240
BR001B	0	3	1.614
BR005B	0	1	0.520
BR005B	0	2	0.567
BR005B	0	3	0.416
BR007B	0	1	1.431
BR007B	0	2	1.425
BR007B	0	3	1.152
BR008B	0	1	1.398
BR008B	0	2	1.552
BR008B	0	3	1.127
P9401	0	1	1.141
P9401	0	2	1.032
P9401	0	3	1.226
SC283	0	1	0.872
SC283	0	2	1.093
SC283	0	3	1.136
ATF06B	5	1	3.043
ATF06B	5	2	2.695
ATF06B	5	3	2.804
ATF40B	5	1	2.014
ATF40B	5	2	3.197
ATF40B	5	3	2.723
ATF54B	5	1	2.195
ATF54B	5	2	1.263
ATF54B	5	3	0.374
BR001B	5	1	2.940
BR001B	5	2	4.638
BR001B	5	3	1.725
BR005B	5	1	0.576
BR005B	5	2	1.677
BR005B	5	3	0.984
BR007B	5	1	1.708
BR007B	5	2	2.882
BR007B	5	3	1.533
BR008B	5	1	1.999
BR008B	5	2	1.349
BR008B	5	3	1.771
P9401	5	1	1.560
P9401	5	2	2.147
P9401	5	3	2.919
SC283	5	1	2.902
SC283	5	2	2.227
SC283	5	3	2.662
ATF06B	25	1	2.955
ATF06B	25	2	3.571
ATF06B	25	3	3.809
ATF40B	25	1	2.145
ATF40B	25	2	1.250
ATF40B	25	3	1.552
ATF54B	25	1	1.563
ATF54B	25	2	0.498
ATF54B	25	3	2.333
BR001B	25	1	3.276
BR001B	25	2	2.599
BR001B	25	3	5.396
BR005B	25	1	1.334
BR005B	25	2	0.504
BR005B	25	3	1.211
BR007B	25	1	2.213
BR007B	25	2	1.667
BR007B	25	3	3.279
BR008B	25	1	2.604
BR008B	25	2	2.729
BR008B	25	3	3.863
P9401	25	1	2.868
P9401	25	2	1.263
P9401	25	3	2.200
SC283	25	1	1.392
SC283	25	2	1.529
SC283	25	3	2.315

