## Experimento com 11 tratamentos em quadrado latino conduzido pelo
## pesquisador Evane Ferreira em 1985. Foram tomadas 4 amostras por
## parcela no que diz respeito ao número total de hastes (n) e número
## total de hastes mortas por cupim ou lagarta elasmo (x). A partir dos
## números calculou-se a proporção por amostra de hastes sobreviventes
## ao ataque dos insetos. Os tratamentos foram:
##  1: iac 47, 50 sementes/m
##  2: 1 + aldrin (sulco)
##  3: 2 + carbofuran + monocrotofos
##  4: 2 + carbofuram
##  5: 2 + monocrotofos
##  6: iac 47, 30 sementes/m
##  7: 6 + aldrin (sulco) + carbofuran + monocrotofos
##  8: iac 165, 70 sementes/m
##  9: 8 + aldrin (sulco) + carbofuran + monocrotofos
## 10: iac 165, 40 sementes/m
## 11: 10 + aldrin (sulco) + carbofuran + monocrotofos
linha	coluna	trat	subamost	prophastes
1	1	2	1	0,9
1	1	2	2	0,88
1	1	2	3	0,9032
1	1	2	4	0,875
2	1	6	1	0,7368
2	1	6	2	0,6757
2	1	6	3	0,64
2	1	6	4	0,7895
3	1	3	1	0,9184
3	1	3	2	0,94
3	1	3	3	0,9804
3	1	3	4	0,9828
4	1	7	1	1
4	1	7	2	1
4	1	7	3	0,8788
4	1	7	4	0,875
5	1	4	1	0,8621
5	1	4	2	0,9111
5	1	4	3	0,8472
5	1	4	4	0,8085
6	1	11	1	0,88
6	1	11	2	0,8824
6	1	11	3	0,9118
6	1	11	4	0,8409
7	1	10	1	0,7742
7	1	10	2	0,64
7	1	10	3	0,8182
7	1	10	4	0,7037
8	1	5	1	0,775
8	1	5	2	0,9091
8	1	5	3	0,8333
8	1	5	4	0,8571
9	1	1	1	0,9091
9	1	1	2	1
9	1	1	3	0,9535
9	1	1	4	0,9546
10	1	8	1	0,9474
10	1	8	2	0,9524
10	1	8	3	0,9787
10	1	8	4	1
11	1	9	1	0,92
11	1	9	2	1
11	1	9	3	0,7931
11	1	9	4	1
1	2	11	1	0,913
1	2	11	2	0,9024
1	2	11	3	0,8333
1	2	11	4	0,7778
2	2	3	1	0,9524
2	2	3	2	0,9863
2	2	3	3	0,9875
2	2	3	4	0,9259
3	2	8	1	0,875
3	2	8	2	0,7593
3	2	8	3	0,9444
3	2	8	4	0,9767
4	2	9	1	1
4	2	9	2	1
4	2	9	3	0,9375
4	2	9	4	0,7917
5	2	1	1	0,8525
5	2	1	2	0,8889
5	2	1	3	0,9057
5	2	1	4	0,9231
6	2	7	1	1
6	2	7	2	1
6	2	7	3	0,9677
6	2	7	4	0,9672
7	2	6	1	0,8525
7	2	6	2	0,8333
7	2	6	3	0,8235
7	2	6	4	0,8
8	2	4	1	0,9273
8	2	4	2	0,9524
8	2	4	3	0,9492
8	2	4	4	0,9851
9	2	5	1	0,8
9	2	5	2	0,9556
9	2	5	3	0,9333
9	2	5	4	0,871
10	2	2	1	0,8974
10	2	2	2	0,8636
10	2	2	3	0,8889
10	2	2	4	0,9524
11	2	10	1	0,7647
11	2	10	2	0,75
11	2	10	3	0,9333
11	2	10	4	0,4375
1	3	10	1	0,873
1	3	10	2	1
1	3	10	3	0,7188
1	3	10	4	0,8846
2	3	11	1	0,9821
2	3	11	2	1
2	3	11	3	0,9702
2	3	11	4	0,9167
3	3	1	1	0,8182
3	3	1	2	0,8621
3	3	1	3	0,8542
3	3	1	4	0,9804
4	3	2	1	1
4	3	2	2	0,9756
4	3	2	3	1
4	3	2	4	1
5	3	6	1	0,8793
5	3	6	2	0,9348
5	3	6	3	0,8537
5	3	6	4	0,963
6	3	5	1	0,8298
6	3	5	2	0,8853
6	3	5	3	0,9149
6	3	5	4	0,8571
7	3	9	1	0,94
7	3	9	2	0,8636
7	3	9	3	0,942
7	3	9	4	0,9259
8	3	8	1	0,9167
8	3	8	2	0,8393
8	3	8	3	0,9722
8	3	8	4	0,946
9	3	7	1	1
9	3	7	2	0,9556
9	3	7	3	0,9298
9	3	7	4	0,8833
10	3	4	1	0,8615
10	3	4	2	0,9107
10	3	4	3	0,9756
10	3	4	4	0,7761
11	3	3	1	1
11	3	3	2	0,8983
11	3	3	3	0,9091
11	3	3	4	0,9091
1	4	9	1	0,9394
1	4	9	2	1
1	4	9	3	0,8983
1	4	9	4	0,8966
2	4	5	1	0,9744
2	4	5	2	0,8889
2	4	5	3	0,9434
2	4	5	4	0,8226
3	4	6	1	0,7273
3	4	6	2	0,7381
3	4	6	3	0,7759
3	4	6	4	0,9245
4	4	3	1	0,9867
4	4	3	2	1
4	4	3	3	0,9811
4	4	3	4	0,9722
5	4	11	1	0,9524
5	4	11	2	0,9487
5	4	11	3	1
5	4	11	4	0,9592
6	4	4	1	0,9667
6	4	4	2	0,9857
6	4	4	3	0,9868
6	4	4	4	0,9683
7	4	1	1	0,8293
7	4	1	2	0,9697
7	4	1	3	1
7	4	1	4	0,9565
8	4	2	1	0,9846
8	4	2	2	0,9265
8	4	2	3	0,92
8	4	2	4	0,9167
9	4	8	1	0,8421
9	4	8	2	0,8846
9	4	8	3	0,8947
9	4	8	4	0,9474
10	4	10	1	0,7813
10	4	10	2	0,8421
10	4	10	3	0,9143
10	4	10	4	0,8214
11	4	7	1	0,9318
11	4	7	2	0,9841
11	4	7	3	0,9388
11	4	7	4	0,8039
1	5	5	1	0,8929
1	5	5	2	0,7111
1	5	5	3	0,8361
1	5	5	4	0,8
2	5	8	1	0,9375
2	5	8	2	0,7105
2	5	8	3	0,918
2	5	8	4	0,9298
3	5	9	1	0,9
3	5	9	2	0,9778
3	5	9	3	0,9467
3	5	9	4	1
4	5	6	1	0,9556
4	5	6	2	0,8824
4	5	6	3	0,6154
4	5	6	4	0,9778
